Symbol,Name,High,Low,Close,Volume,URL
DRFE,Desjardins Emerging Mkts Low Co2 ETF,20.88,20.88,20.88,103,http://eoddata.com//stockquote/TSX/DRFE.htm
DRFG,Desjardins Gbl Fossil Fuel Res Free ETF,24.36,24.36,24.36,125,http://eoddata.com//stockquote/TSX/DRFG.htm
DRFU,Desjardins RI USA Multi Low Co2 ETF,25.88,25.87,25.87,7208,http://eoddata.com//stockquote/TSX/DRFU.htm
DRM,Dream Unlimited Corp,45.61,42.55,45.48,178628,http://eoddata.com//stockquote/TSX/DRM.htm
DRMC,Desjardins RI Canada-Low Co2 Index ETF,26.44,26.24,26.24,2263,http://eoddata.com//stockquote/TSX/DRMC.htm
DRMD,Desjardins RI Dev Exusa Exca Low Co2 ETF,23.73,23.73,23.73,5500,http://eoddata.com//stockquote/TSX/DRMD.htm
DRME,Desjardins RI Emrgng Mkt Low Co2 Idx ETF,18.91,18.91,18.91,100,http://eoddata.com//stockquote/TSX/DRME.htm
DRMU,Desjardins RI USA Low Co2 Index ETF,29.57,29.55,29.55,419,http://eoddata.com//stockquote/TSX/DRMU.htm
DRT,Dirtt Environmental Solutions Ltd,2.24,2.11,2.16,18605,http://eoddata.com//stockquote/TSX/DRT.htm
DRT.DB,Dirtt Environmental Solns Ltd 6 Pct Debs,85.01,85.01,85.01,3000,http://eoddata.com//stockquote/TSX/DRT.DB.htm
DRT.DB.A,Dirtt Enviro Solutions Ltd 6.25 Pct Debs,90.5,90.0,90.0,48000,http://eoddata.com//stockquote/TSX/DRT.DB.A.htm
DRX,Adf Group Inc Sv,1.69,1.66,1.67,11000,http://eoddata.com//stockquote/TSX/DRX.htm
DS,Dividend Select 15 Corp,9.11,8.97,8.98,34130,http://eoddata.com//stockquote/TSX/DS.htm
DSAE,Desjardins Societerra American Eqty ETF,20.81,20.81,20.81,200,http://eoddata.com//stockquote/TSX/DSAE.htm
DSG,Descartes Sys,90.17,85.7,85.89,190553,http://eoddata.com//stockquote/TSX/DSG.htm
DTOL,D2L Inc,12.88,11.61,11.61,41569,http://eoddata.com//stockquote/TSX/DTOL.htm
DXB,Dynamic Ishares Act Tactical Bond ETF,19.63,19.59,19.63,11500,http://eoddata.com//stockquote/TSX/DXB.htm
DXC,Dyn Ishares Active CDN Div ETF,32.94,32.48,32.48,5793,http://eoddata.com//stockquote/TSX/DXC.htm
DXEM,Dynamic Active Emerging Markets ETF,16.18,16.18,16.18,500,http://eoddata.com//stockquote/TSX/DXEM.htm
DXET,Dynamic Active Energy Evolution ETF,17.93,17.93,17.93,500,http://eoddata.com//stockquote/TSX/DXET.htm
DXF,Dynamic Ishares Act Global Fin Ser ETF,34.5,33.98,33.98,245,http://eoddata.com//stockquote/TSX/DXF.htm
DXG,Dyn Ishares Active Global Div ETF,47.05,46.13,46.18,8644,http://eoddata.com//stockquote/TSX/DXG.htm
DXIF,Dynamic Active International ETF,21.37,21.3,21.3,1401,http://eoddata.com//stockquote/TSX/DXIF.htm
DXN,Dynamic Active Global Infrastructure ETF,18.75,18.62,18.62,3375,http://eoddata.com//stockquote/TSX/DXN.htm
DXO,Dyn Ishares Act Crossover Bond ETF,20.72,20.72,20.72,600,http://eoddata.com//stockquote/TSX/DXO.htm
DXP,Dyn Ishares Active Pref Shares ETF,23.11,22.81,22.9,14322,http://eoddata.com//stockquote/TSX/DXP.htm
DXR,Dynamic Active Retirement Income+ ETF,22.7,22.68,22.68,250,http://eoddata.com//stockquote/TSX/DXR.htm
DXT,Dexterra Group Inc,8.02,7.83,7.9,194220,http://eoddata.com//stockquote/TSX/DXT.htm
DXU,Dyn Ishares Active US Div ETF,43.95,43.28,43.28,2745,http://eoddata.com//stockquote/TSX/DXU.htm
DXV,Dyn Ishares Act Inv Grd Flot Rt ETF,20.18,20.18,20.18,146,http://eoddata.com//stockquote/TSX/DXV.htm
DXW,Dynamic Active Intl Dividend ETF,22.71,22.65,22.68,3540,http://eoddata.com//stockquote/TSX/DXW.htm
DXZ,Dynamic Ishares Acitve US Mid Cap ETF,10.59,10.37,10.37,1602,http://eoddata.com//stockquote/TSX/DXZ.htm
DYA,Dynacert Inc,0.185,0.18,0.18,119069,http://eoddata.com//stockquote/TSX/DYA.htm
E,Enterprise Group Inc,0.32,0.295,0.3,100790,http://eoddata.com//stockquote/TSX/E.htm
EAGR,Leaf Mobile Inc,3.4,3.25,3.25,18997,http://eoddata.com//stockquote/TSX/EAGR.htm
EARN,Evolve Active Global Fixed Income ETF,47.95,47.94,47.94,600,http://eoddata.com//stockquote/TSX/EARN.htm
EBIT,Bitcoin ETF,18.73,18.03,18.16,87614,http://eoddata.com//stockquote/TSX/EBIT.htm
EBIT.U,Bitcoin ETF USD,14.71,14.17,14.25,6815,http://eoddata.com//stockquote/TSX/EBIT.U.htm
EBNK,Evolve European Banks Enhanced Yield ETF,9.72,9.6,9.6,6743,http://eoddata.com//stockquote/TSX/EBNK.htm
EBNK.B,Evolve European Banks Enhanced Yield ETF,9.72,9.72,9.72,6000,http://eoddata.com//stockquote/TSX/EBNK.B.htm
EBNK.U,Evolve European Banks Enhanced Yield ETF,9.64,9.64,9.64,100,http://eoddata.com//stockquote/TSX/EBNK.U.htm
ECN,Ecn Capital Corp,5.92,5.73,5.75,537887,http://eoddata.com//stockquote/TSX/ECN.htm
